state,category,fy,calendar_year,calendar_month,month_name,fy_month_order,indicator_id,indicator_name,indicator_group,indicator_subgroup,be,actuals_cumulative,actuals_monthly,pct_be_current,pct_be_prev_year,yoy_growth_pct,gsdp,actuals_pct_gsdp,data_quality,pdf_url,last_updated
Mizoram,Special,2025-26,2025,9,September,6,other_taxes,Other Taxes & Duties,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-25-069008d7b0d1057-12067638.pdf,2026-03-01T10:34:18.414452
Mizoram,Special,2025-26,2025,10,October,7,other_taxes,Other Taxes & Duties,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October2025-0692d7e4faa8949-58262888.pdf,2026-03-01T10:34:20.634812
Mizoram,Special,2025-26,2025,11,November,8,other_taxes,Other Taxes & Duties,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-0694a652b1c8e96-23147183.pdf,2026-03-01T10:34:25.136247
Mizoram,Special,2025-26,2025,12,December,9,other_taxes,Other Taxes & Duties,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-06979d13c564134-32530637.pdf,2026-03-01T10:34:29.763299
Mizoram,Special,2025-26,2025,12,December,9,other_taxes,Other Taxes & Duties,Receipts,Tax,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-Monthly-Trends-MKI-December-2025-06979d15c086e54-79617671.pdf,2026-03-01T10:34:32.018002
Mizoram,Special,2023-24,2023,11,November,8,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-23-065852d23afbb81-16198776.pdf,2026-03-01T10:35:11.505575
Mizoram,Special,2024-25,2024,6,June,3,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-066ab6a3097de59-78032965.pdf,2026-03-01T10:34:38.809078
Mizoram,Special,2024-25,2024,6,June,3,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-Part-066ab6a4f2272f9-71114699.pdf,2026-03-01T10:34:41.190673
Mizoram,Special,2024-25,2024,7,July,4,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-Part-Ia-066f68530464843-94227083.pdf,2026-03-01T10:34:43.419412
Mizoram,Special,2024-25,2024,7,July,4,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-part-II-066d05012139b81-51477264.pdf,2026-03-01T10:34:45.979051
Mizoram,Special,2024-25,2024,8,August,5,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-Part-1c-066f68480b954f6-18167901.pdf,2026-03-01T10:34:48.199236
Mizoram,Special,2024-25,2024,10,October,7,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-October-2024-067498beecbe291-37597011.pdf,2026-03-01T10:34:54.822198
Mizoram,Special,2024-25,2024,11,November,8,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2-0676fb6a42014b5-96068240.pdf,2026-03-01T10:35:01.636568
Mizoram,Special,2024-25,2024,12,December,9,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0679b1b5f151a96-70320265.pdf,2026-03-01T10:35:03.709411
Mizoram,Special,2024-25,2025,1,January,10,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-2024-25-Jan25-067c1a9d41f5972-79825197.pdf,2026-03-01T10:35:06.947807
Mizoram,Special,2025-26,2025,4,April,1,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April25-068382695887be5-36869063.pdf,2026-03-01T10:34:07.569313
Mizoram,Special,2025-26,2025,5,May,2,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May25-06863bdc4f18ce7-38806523.pdf,2026-03-01T10:34:09.754540
Mizoram,Special,2025-26,2025,6,June,3,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June25-0688c6ded52c2e5-11146206.pdf,2026-03-01T10:34:11.947179
Mizoram,Special,2025-26,2025,7,July,4,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-25-068aeb15971a3d3-60768610.pdf,2026-03-01T10:34:14.077596
Mizoram,Special,2025-26,2025,8,August,5,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-25-068d5195caddbb1-84041210.pdf,2026-03-01T10:34:16.282806
Mizoram,Special,2025-26,2025,9,September,6,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-25-069008d7b0d1057-12067638.pdf,2026-03-01T10:34:18.414452
Mizoram,Special,2025-26,2025,10,October,7,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October2025-0692d7e4faa8949-58262888.pdf,2026-03-01T10:34:20.634812
Mizoram,Special,2025-26,2025,11,November,8,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-0694a652b1c8e96-23147183.pdf,2026-03-01T10:34:25.136247
Mizoram,Special,2025-26,2025,12,December,9,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-06979d13c564134-32530637.pdf,2026-03-01T10:34:29.763299
Mizoram,Special,2025-26,2025,12,December,9,pension,Pension,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-Monthly-Trends-MKI-December-2025-06979d15c086e54-79617671.pdf,2026-03-01T10:34:32.018002
Mizoram,Special,2023-24,2023,11,November,8,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-23-065852d23afbb81-16198776.pdf,2026-03-01T10:35:11.505575
Mizoram,Special,2024-25,2024,6,June,3,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-066ab6a3097de59-78032965.pdf,2026-03-01T10:34:38.809078
Mizoram,Special,2024-25,2024,6,June,3,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-Part-066ab6a4f2272f9-71114699.pdf,2026-03-01T10:34:41.190673
Mizoram,Special,2024-25,2024,7,July,4,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-Part-Ia-066f68530464843-94227083.pdf,2026-03-01T10:34:43.419412
Mizoram,Special,2024-25,2024,7,July,4,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-part-II-066d05012139b81-51477264.pdf,2026-03-01T10:34:45.979051
Mizoram,Special,2024-25,2024,8,August,5,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-Part-1c-066f68480b954f6-18167901.pdf,2026-03-01T10:34:48.199236
Mizoram,Special,2024-25,2024,10,October,7,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-October-2024-067498beecbe291-37597011.pdf,2026-03-01T10:34:54.822198
Mizoram,Special,2024-25,2024,11,November,8,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2-0676fb6a42014b5-96068240.pdf,2026-03-01T10:35:01.636568
Mizoram,Special,2024-25,2024,12,December,9,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0679b1b5f151a96-70320265.pdf,2026-03-01T10:35:03.709411
Mizoram,Special,2024-25,2025,1,January,10,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-2024-25-Jan25-067c1a9d41f5972-79825197.pdf,2026-03-01T10:35:06.947807
Mizoram,Special,2025-26,2025,4,April,1,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April25-068382695887be5-36869063.pdf,2026-03-01T10:34:07.569313
Mizoram,Special,2025-26,2025,5,May,2,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May25-06863bdc4f18ce7-38806523.pdf,2026-03-01T10:34:09.754540
Mizoram,Special,2025-26,2025,6,June,3,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June25-0688c6ded52c2e5-11146206.pdf,2026-03-01T10:34:11.947179
Mizoram,Special,2025-26,2025,7,July,4,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-25-068aeb15971a3d3-60768610.pdf,2026-03-01T10:34:14.077596
Mizoram,Special,2025-26,2025,8,August,5,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-25-068d5195caddbb1-84041210.pdf,2026-03-01T10:34:16.282806
Mizoram,Special,2025-26,2025,9,September,6,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-25-069008d7b0d1057-12067638.pdf,2026-03-01T10:34:18.414452
Mizoram,Special,2025-26,2025,10,October,7,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October2025-0692d7e4faa8949-58262888.pdf,2026-03-01T10:34:20.634812
Mizoram,Special,2025-26,2025,11,November,8,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-0694a652b1c8e96-23147183.pdf,2026-03-01T10:34:25.136247
Mizoram,Special,2025-26,2025,12,December,9,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-06979d13c564134-32530637.pdf,2026-03-01T10:34:29.763299
Mizoram,Special,2025-26,2025,12,December,9,primary_deficit,Primary Deficit (-) / Surplus (+),Fiscal Position,Primary,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-Monthly-Trends-MKI-December-2025-06979d15c086e54-79617671.pdf,2026-03-01T10:34:32.018002
Mizoram,Special,2023-24,2023,11,November,8,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-23-065852d23afbb81-16198776.pdf,2026-03-01T10:35:11.505575
Mizoram,Special,2024-25,2024,6,June,3,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-066ab6a3097de59-78032965.pdf,2026-03-01T10:34:38.809078
Mizoram,Special,2024-25,2024,6,June,3,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-Part-066ab6a4f2272f9-71114699.pdf,2026-03-01T10:34:41.190673
Mizoram,Special,2024-25,2024,7,July,4,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-Part-Ia-066f68530464843-94227083.pdf,2026-03-01T10:34:43.419412
Mizoram,Special,2024-25,2024,7,July,4,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-part-II-066d05012139b81-51477264.pdf,2026-03-01T10:34:45.979051
Mizoram,Special,2024-25,2024,8,August,5,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-Part-1c-066f68480b954f6-18167901.pdf,2026-03-01T10:34:48.199236
Mizoram,Special,2024-25,2024,10,October,7,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-October-2024-067498beecbe291-37597011.pdf,2026-03-01T10:34:54.822198
Mizoram,Special,2024-25,2024,11,November,8,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2-0676fb6a42014b5-96068240.pdf,2026-03-01T10:35:01.636568
Mizoram,Special,2024-25,2024,12,December,9,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0679b1b5f151a96-70320265.pdf,2026-03-01T10:35:03.709411
Mizoram,Special,2024-25,2025,1,January,10,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-2024-25-Jan25-067c1a9d41f5972-79825197.pdf,2026-03-01T10:35:06.947807
Mizoram,Special,2025-26,2025,4,April,1,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April25-068382695887be5-36869063.pdf,2026-03-01T10:34:07.569313
Mizoram,Special,2025-26,2025,5,May,2,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May25-06863bdc4f18ce7-38806523.pdf,2026-03-01T10:34:09.754540
Mizoram,Special,2025-26,2025,6,June,3,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June25-0688c6ded52c2e5-11146206.pdf,2026-03-01T10:34:11.947179
Mizoram,Special,2025-26,2025,7,July,4,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-25-068aeb15971a3d3-60768610.pdf,2026-03-01T10:34:14.077596
Mizoram,Special,2025-26,2025,8,August,5,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-25-068d5195caddbb1-84041210.pdf,2026-03-01T10:34:16.282806
Mizoram,Special,2025-26,2025,9,September,6,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-25-069008d7b0d1057-12067638.pdf,2026-03-01T10:34:18.414452
Mizoram,Special,2025-26,2025,10,October,7,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October2025-0692d7e4faa8949-58262888.pdf,2026-03-01T10:34:20.634812
Mizoram,Special,2025-26,2025,11,November,8,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-0694a652b1c8e96-23147183.pdf,2026-03-01T10:34:25.136247
Mizoram,Special,2025-26,2025,12,December,9,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-06979d13c564134-32530637.pdf,2026-03-01T10:34:29.763299
Mizoram,Special,2025-26,2025,12,December,9,recovery_loans,Recovery of Loans & Advances,Receipts,Capital,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-Monthly-Trends-MKI-December-2025-06979d15c086e54-79617671.pdf,2026-03-01T10:34:32.018002
Mizoram,Special,2023-24,2023,11,November,8,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-23-065852d23afbb81-16198776.pdf,2026-03-01T10:35:11.505575
Mizoram,Special,2024-25,2024,6,June,3,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-066ab6a3097de59-78032965.pdf,2026-03-01T10:34:38.809078
Mizoram,Special,2024-25,2024,6,June,3,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-Part-066ab6a4f2272f9-71114699.pdf,2026-03-01T10:34:41.190673
Mizoram,Special,2024-25,2024,7,July,4,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-Part-Ia-066f68530464843-94227083.pdf,2026-03-01T10:34:43.419412
Mizoram,Special,2024-25,2024,7,July,4,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-part-II-066d05012139b81-51477264.pdf,2026-03-01T10:34:45.979051
Mizoram,Special,2024-25,2024,8,August,5,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-Part-1c-066f68480b954f6-18167901.pdf,2026-03-01T10:34:48.199236
Mizoram,Special,2024-25,2024,10,October,7,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-October-2024-067498beecbe291-37597011.pdf,2026-03-01T10:34:54.822198
Mizoram,Special,2024-25,2024,11,November,8,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2-0676fb6a42014b5-96068240.pdf,2026-03-01T10:35:01.636568
Mizoram,Special,2024-25,2024,12,December,9,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0679b1b5f151a96-70320265.pdf,2026-03-01T10:35:03.709411
Mizoram,Special,2024-25,2025,1,January,10,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-2024-25-Jan25-067c1a9d41f5972-79825197.pdf,2026-03-01T10:35:06.947807
Mizoram,Special,2025-26,2025,4,April,1,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April25-068382695887be5-36869063.pdf,2026-03-01T10:34:07.569313
Mizoram,Special,2025-26,2025,5,May,2,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May25-06863bdc4f18ce7-38806523.pdf,2026-03-01T10:34:09.754540
Mizoram,Special,2025-26,2025,6,June,3,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June25-0688c6ded52c2e5-11146206.pdf,2026-03-01T10:34:11.947179
Mizoram,Special,2025-26,2025,7,July,4,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-25-068aeb15971a3d3-60768610.pdf,2026-03-01T10:34:14.077596
Mizoram,Special,2025-26,2025,8,August,5,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-25-068d5195caddbb1-84041210.pdf,2026-03-01T10:34:16.282806
Mizoram,Special,2025-26,2025,9,September,6,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-September-25-069008d7b0d1057-12067638.pdf,2026-03-01T10:34:18.414452
Mizoram,Special,2025-26,2025,10,October,7,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-October2025-0692d7e4faa8949-58262888.pdf,2026-03-01T10:34:20.634812
Mizoram,Special,2025-26,2025,11,November,8,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-November-2025-0694a652b1c8e96-23147183.pdf,2026-03-01T10:34:25.136247
Mizoram,Special,2025-26,2025,12,December,9,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-December-2025-06979d13c564134-32530637.pdf,2026-03-01T10:34:29.763299
Mizoram,Special,2025-26,2025,12,December,9,revenue_expenditure,Revenue Expenditure,Expenditure,Revenue,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-Monthly-Trends-MKI-December-2025-06979d15c086e54-79617671.pdf,2026-03-01T10:34:32.018002
Mizoram,Special,2023-24,2023,11,November,8,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-23-065852d23afbb81-16198776.pdf,2026-03-01T10:35:11.505575
Mizoram,Special,2024-25,2024,6,June,3,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-066ab6a3097de59-78032965.pdf,2026-03-01T10:34:38.809078
Mizoram,Special,2024-25,2024,6,June,3,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June-2024-Part-066ab6a4f2272f9-71114699.pdf,2026-03-01T10:34:41.190673
Mizoram,Special,2024-25,2024,7,July,4,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-Part-Ia-066f68530464843-94227083.pdf,2026-03-01T10:34:43.419412
Mizoram,Special,2024-25,2024,7,July,4,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-2024-part-II-066d05012139b81-51477264.pdf,2026-03-01T10:34:45.979051
Mizoram,Special,2024-25,2024,8,August,5,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-August-Part-1c-066f68480b954f6-18167901.pdf,2026-03-01T10:34:48.199236
Mizoram,Special,2024-25,2024,10,October,7,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-1-MKI-October-2024-067498beecbe291-37597011.pdf,2026-03-01T10:34:54.822198
Mizoram,Special,2024-25,2024,11,November,8,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Nov-2-0676fb6a42014b5-96068240.pdf,2026-03-01T10:35:01.636568
Mizoram,Special,2024-25,2024,12,December,9,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-Dec-2024-0679b1b5f151a96-70320265.pdf,2026-03-01T10:35:03.709411
Mizoram,Special,2024-25,2025,1,January,10,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-2024-25-Jan25-067c1a9d41f5972-79825197.pdf,2026-03-01T10:35:06.947807
Mizoram,Special,2025-26,2025,4,April,1,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April25-068382695887be5-36869063.pdf,2026-03-01T10:34:07.569313
Mizoram,Special,2025-26,2025,5,May,2,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-May25-06863bdc4f18ce7-38806523.pdf,2026-03-01T10:34:09.754540
Mizoram,Special,2025-26,2025,6,June,3,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-June25-0688c6ded52c2e5-11146206.pdf,2026-03-01T10:34:11.947179
Mizoram,Special,2025-26,2025,7,July,4,revenue_receipts,Revenue Receipts,Receipts,Total,,,,,,,,,PARSE_ERROR,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-July-25-068aeb15971a3d3-60768610.pdf,2026-03-01T10:34:14.077596
